Date,PIB_Croissance,Inflation,Taux_Directeur,Taux_Change,Chomage,Balance_Commerciale,Reserves_Change,Prod_Industrielle,Confiance_Menages,MASI_Indice,MASI_Rendement,Volume_Echange,Volatilite,Capitalisation,Societes_Cotees,PER,Div_Yield,Sect_Bancaire,Sect_Telecoms,Sect_Industrie,Sect_Immobilier
2022-06-01,4.16,2.06,1.92,9.55,9.76,-10.56,34.98,120.1,108.68,16000.0,0.0,962.01,15.33,627.39,83,22.35,3.34,135.34,115.97,124.69,104.93
2022-07-01,4.08,1.75,2.14,9.31,8.63,-14.66,30.87,124.72,103.36,16000.0,0.0,849.06,19.57,644.2,81,18.49,3.21,119.39,108.33,114.92,133.72
2022-08-01,4.12,1.3,2.07,9.77,8.29,-12.69,29.69,122.35,94.49,16000.0,0.0,837.32,18.1,606.09,84,20.7,3.22,131.27,117.79,121.3,135.84
2022-09-01,3.28,1.79,2.03,9.1,7.99,-12.51,31.66,122.1,111.47,16000.0,0.0,851.68,15.15,541.71,83,18.7,3.09,123.92,122.63,106.16,118.55
2022-10-01,4.02,1.42,1.89,9.61,8.31,-12.95,35.71,127.41,113.79,16000.0,0.0,778.9,16.34,626.92,83,21.08,3.24,125.13,119.24,127.5,127.33
2022-11-01,4.11,2.25,1.95,9.61,8.66,-14.49,30.68,119.3,97.24,16000.0,0.0,808.38,24.43,635.17,82,18.79,2.31,126.54,108.53,110.58,118.96
2022-12-01,3.35,1.69,2.22,9.34,9.59,-14.63,34.39,124.4,103.67,16000.0,0.0,763.8,17.08,635.31,82,19.78,2.98,128.0,115.16,132.17,103.95
2023-01-01,5.47,1.35,2.16,9.53,8.46,-13.22,34.49,122.18,111.46,16000.0,0.0,825.99,16.7,661.38,81,18.62,3.14,125.22,105.31,119.48,113.31
2023-02-01,4.4,1.6,1.87,9.06,8.84,-10.73,31.19,123.15,118.39,16000.0,0.0,841.44,16.84,593.29,83,21.93,2.72,128.03,116.59,120.45,118.86
2023-03-01,3.09,1.97,2.08,9.72,8.72,-11.95,32.91,127.15,108.13,16000.0,0.0,790.65,15.7,646.94,82,22.36,3.17,139.11,115.94,117.67,113.11
2023-04-01,4.56,1.48,2.21,9.39,9.31,-13.79,34.55,124.18,104.53,16000.0,0.0,1098.98,16.38,663.43,84,20.2,2.99,134.53,102.11,120.19,115.58
2023-05-01,3.22,1.36,1.72,9.29,9.95,-11.56,31.58,124.23,107.59,16000.0,0.0,1008.35,16.39,575.41,82,20.76,3.58,133.77,106.44,132.28,116.96
2023-06-01,4.58,1.89,2.16,9.76,8.39,-18.89,31.89,125.73,115.83,16000.0,0.0,897.9,15.16,639.48,82,17.8,3.52,123.34,111.79,105.07,117.18
2023-07-01,4.83,1.89,1.91,9.24,8.37,-10.98,31.37,121.3,106.19,16000.0,0.0,847.73,19.38,615.88,84,20.12,2.91,120.04,111.77,131.56,118.62
2023-08-01,3.21,1.52,2.16,9.03,9.11,-16.83,30.76,119.83,105.78,16000.0,0.0,977.18,16.62,629.68,84,20.63,3.0,134.96,106.4,125.13,107.61
2023-09-01,4.63,1.54,1.89,8.99,8.92,-14.09,31.36,119.27,107.55,16000.0,0.0,788.86,20.18,643.67,86,25.99,3.02,134.49,116.08,114.46,111.15
2023-10-01,4.2,1.89,1.68,9.64,9.5,-15.57,30.54,116.7,105.16,16000.0,0.0,932.84,20.7,619.74,85,18.54,2.9,139.43,115.34,115.52,105.59
2023-11-01,4.57,1.05,1.71,9.08,8.87,-15.84,32.47,129.09,110.31,16000.0,0.0,791.54,15.71,615.2,84,23.71,3.09,122.99,112.74,134.92,128.33
2023-12-01,5.48,1.08,2.04,9.99,8.42,-10.82,31.31,120.0,117.48,16000.0,0.0,937.98,18.21,637.62,82,22.79,2.81,126.15,109.46,116.71,97.6
2024-01-01,3.82,1.42,2.08,8.84,8.91,-13.96,32.86,123.04,110.62,16000.0,0.0,813.83,16.92,605.09,85,21.38,2.69,115.04,120.37,115.39,130.31
2024-02-01,3.45,1.68,1.85,9.98,9.18,-12.25,30.22,123.2,107.5,16000.0,0.0,992.87,21.36,606.25,85,24.35,3.21,125.18,124.09,131.56,132.75
2024-03-01,3.36,1.94,2.15,9.54,9.04,-12.99,33.09,125.17,107.24,16000.0,0.0,1073.23,15.73,660.33,84,21.59,3.21,136.46,111.34,126.11,115.97
2024-04-01,3.41,2.52,1.69,9.45,8.86,-11.96,33.89,126.77,101.04,16000.0,0.0,802.7,18.4,606.6,85,21.64,2.78,124.93,110.66,117.32,93.07
2024-05-01,3.97,2.22,2.01,9.32,9.12,-12.82,29.7,126.86,113.61,16000.0,0.0,850.38,17.81,662.17,84,20.78,3.29,133.95,117.36,125.54,115.6
2024-06-01,4.26,1.71,1.77,9.6,9.14,-15.63,33.29,122.42,109.26,16000.0,0.0,1186.21,16.05,657.17,83,23.35,2.83,127.47,112.35,116.98,118.69
2024-07-01,4.16,1.78,1.88,9.47,9.21,-11.16,34.62,123.56,109.21,16000.0,0.0,857.67,15.44,592.64,86,23.11,3.09,131.75,113.74,132.01,109.34
2024-08-01,4.56,1.29,2.02,9.82,8.81,-14.2,31.01,124.86,126.43,16000.0,0.0,992.47,18.16,625.2,83,19.68,3.26,120.15,119.1,131.87,114.4
2024-09-01,3.9,1.79,1.84,9.53,8.39,-16.35,35.37,123.33,112.13,16000.0,0.0,883.82,19.03,682.47,84,18.31,3.0,130.18,103.29,128.31,134.97
2024-10-01,5.07,1.65,1.93,9.54,8.55,-14.05,33.54,129.11,106.82,16000.0,0.0,843.7,16.14,618.33,84,20.56,3.14,105.74,122.74,127.25,126.43
2024-11-01,3.74,1.96,2.2,9.39,9.09,-10.11,31.9,126.08,108.21,16000.0,0.0,831.98,18.11,634.95,83,19.38,2.85,128.34,115.35,137.19,110.64
2024-12-01,6.18,1.39,1.88,9.48,8.09,-11.3,32.92,127.2,115.74,16000.0,0.0,822.72,16.51,663.86,83,20.87,2.94,116.96,112.53,125.0,104.02
